id,nama,age,gender,harga_beli,kind_of_food,restaurant,friends,jumlah_klik_produk_tertentu,review,lokasi_resto
1265,User1265,41,Male,35.26,Dessert,Burger King,100,15,"Poor quality, not worth the money.",Jogja
1266,User1266,42,Male,92.25,Beverage,Starbucks,175,4,The food was delicious and fresh!,Malang
1267,User1267,61,Male,38.14,Healthy,KFC,105,14,"Excellent taste, worth every penny!",Jogja
1268,User1268,31,Female,73.42,Beverage,Starbucks,43,17,"Poor quality, not worth the money.",Surabaya
1269,User1269,50,Female,38.16,Beverage,Burger King,106,5,"Not worth the price, very disappointing.",Surabaya
1270,User1270,50,Male,44.83,Fast Food,JCo,165,15,"Excellent taste, worth every penny!",Bandung
1271,User1271,68,Male,98.67,Beverage,Starbucks,442,10,"Terrible experience, food was awful.",Bandung
1272,User1272,67,Male,66.04,Healthy,Burger King,356,5,"Amazing flavors, highly recommend!",Malang
1273,User1273,43,Male,75.92,Healthy,Starbucks,491,4,"Unimpressed with the taste, won't return.",Bandung
1274,User1274,27,Male,93.77,Healthy,Mi Gacoan,220,14,The food was bland and tasteless.,Jakarta
1275,User1275,55,Male,84.78,Dessert,Mi Gacoan,309,9,"Poor quality, not worth the money.",Surabaya
1276,User1276,62,Female,32.37,Dessert,KFC,447,3,The food was delicious and fresh!,Bandung
1277,User1277,35,Female,50.56,Beverage,JCo,421,15,The food was delicious and fresh!,Malang
1278,User1278,41,Female,84.32,Dessert,KFC,180,4,"Unimpressed with the taste, won't return.",Bandung
1279,User1279,53,Female,19.22,Healthy,McDonald's,138,13,The food was bland and tasteless.,Jakarta
1280,User1280,53,Male,12.29,Fast Food,Mi Gacoan,180,5,"Great food, definitely coming back.",Jakarta
1281,User1281,52,Female,13.21,Healthy,Mi Gacoan,74,6,"Amazing flavors, highly recommend!",Bandung
1282,User1282,38,Female,21.53,Dessert,Mi Gacoan,230,1,The food was delicious and fresh!,Jogja
1283,User1283,23,Female,62.28,Dessert,McDonald's,364,1,"Poor quality, not worth the money.",Jakarta
1284,User1284,38,Female,92.51,Beverage,McDonald's,58,17,"Poor quality, not worth the money.",Jakarta
1285,User1285,24,Male,15.76,Dessert,McDonald's,323,0,"Amazing flavors, highly recommend!",Jakarta
1286,User1286,26,Male,10.65,Beverage,JCo,248,0,"Amazing flavors, highly recommend!",Jogja
1287,User1287,18,Female,46.91,Beverage,JCo,402,19,The food was bland and tasteless.,Surabaya
1288,User1288,62,Male,86.29,Dessert,Burger King,435,18,"Not worth the price, very disappointing.",Jogja
1289,User1289,43,Female,8.54,Beverage,KFC,88,4,"Not worth the price, very disappointing.",Surabaya
1290,User1290,56,Female,30.46,Healthy,Burger King,315,12,Very tasty and well-prepared.,Surabaya
1291,User1291,25,Male,54.1,Beverage,JCo,255,18,"Poor quality, not worth the money.",Surabaya
1292,User1292,27,Female,74.12,Dessert,KFC,391,17,"Terrible experience, food was awful.",Bandung
1293,User1293,24,Female,87.26,Fast Food,Burger King,232,9,"Great food, definitely coming back.",Bandung
1294,User1294,47,Female,89.05,Fast Food,Mi Gacoan,491,18,"Great food, definitely coming back.",Surabaya
1295,User1295,23,Female,74.53,Dessert,Burger King,333,16,"Terrible experience, food was awful.",Jakarta
1296,User1296,54,Female,40.53,Dessert,McDonald's,156,0,"Terrible experience, food was awful.",Malang
1297,User1297,47,Male,75.67,Healthy,Mi Gacoan,66,19,"Great food, definitely coming back.",Bandung
1298,User1298,57,Male,83.12,Beverage,McDonald's,433,19,The food was bland and tasteless.,Jogja
1299,User1299,37,Male,40.57,Dessert,Starbucks,302,12,"Not worth the price, very disappointing.",Jogja
1300,User1300,65,Female,36.04,Fast Food,Burger King,222,5,"Terrible experience, food was awful.",Surabaya
1301,User1301,40,Female,48.45,Dessert,Mi Gacoan,185,10,"Unimpressed with the taste, won't return.",Surabaya
1302,User1302,21,Female,17.05,Fast Food,Starbucks,304,4,The food was delicious and fresh!,Jakarta
1303,User1303,25,Female,48.52,Healthy,Mi Gacoan,357,6,"Unimpressed with the taste, won't return.",Malang
1304,User1304,47,Male,86.64,Healthy,Mi Gacoan,142,19,"Poor quality, not worth the money.",Surabaya
1305,User1305,38,Male,82.53,Fast Food,Mi Gacoan,393,1,"Not worth the price, very disappointing.",Jogja
1306,User1306,26,Female,13.84,Fast Food,Burger King,442,17,"Amazing flavors, highly recommend!",Jakarta
1307,User1307,36,Female,6.21,Beverage,Burger King,257,1,"Terrible experience, food was awful.",Surabaya
1308,User1308,40,Female,45.95,Fast Food,Burger King,8,9,"Not worth the price, very disappointing.",Bandung
1309,User1309,40,Male,37.61,Healthy,McDonald's,166,10,"Unimpressed with the taste, won't return.",Bandung
1310,User1310,39,Female,60.78,Beverage,Starbucks,315,0,"Not worth the price, very disappointing.",Bandung
1311,User1311,64,Female,65.95,Healthy,JCo,310,9,The food was delicious and fresh!,Jogja
1312,User1312,57,Female,69.4,Beverage,McDonald's,157,8,"Not worth the price, very disappointing.",Malang
1313,User1313,52,Male,73.7,Beverage,JCo,106,2,"Unimpressed with the taste, won't return.",Bandung
1314,User1314,52,Male,93.73,Beverage,Burger King,152,18,"Poor quality, not worth the money.",Jakarta
1315,User1315,34,Male,79.58,Fast Food,Starbucks,153,19,The food was delicious and fresh!,Malang
1316,User1316,31,Male,18.93,Healthy,Starbucks,14,17,"Great food, definitely coming back.",Surabaya
1317,User1317,46,Male,10.63,Healthy,Burger King,30,16,"Great food, definitely coming back.",Malang
1318,User1318,31,Male,5.63,Healthy,Mi Gacoan,165,2,"Terrible experience, food was awful.",Jakarta
1319,User1319,51,Female,78.2,Dessert,McDonald's,267,11,The food was bland and tasteless.,Surabaya
1320,User1320,44,Male,5.18,Dessert,Burger King,276,10,"Great food, definitely coming back.",Jakarta
1321,User1321,31,Male,25.56,Fast Food,JCo,429,10,"Excellent taste, worth every penny!",Bandung
1322,User1322,28,Male,34.67,Beverage,McDonald's,151,11,"Not worth the price, very disappointing.",Malang
1323,User1323,41,Male,66.98,Dessert,JCo,489,4,"Poor quality, not worth the money.",Malang
1324,User1324,39,Female,27.92,Dessert,JCo,451,12,The food was delicious and fresh!,Jakarta
1325,User1325,45,Male,31.53,Fast Food,Starbucks,87,19,"Amazing flavors, highly recommend!",Bandung
1326,User1326,63,Male,5.25,Dessert,Starbucks,190,15,"Unimpressed with the taste, won't return.",Jakarta
1327,User1327,39,Male,46.62,Healthy,KFC,388,13,"Poor quality, not worth the money.",Malang
1328,User1328,49,Male,12.48,Dessert,JCo,361,12,"Poor quality, not worth the money.",Surabaya
1329,User1329,56,Male,39.9,Healthy,KFC,340,15,"Unimpressed with the taste, won't return.",Jogja
1330,User1330,36,Female,83.37,Healthy,JCo,255,8,The food was delicious and fresh!,Jogja
1331,User1331,45,Male,15.42,Fast Food,Burger King,392,14,"Amazing flavors, highly recommend!",Jogja
1332,User1332,44,Male,10.7,Dessert,KFC,354,13,"Excellent taste, worth every penny!",Jogja
1333,User1333,41,Male,39.81,Beverage,McDonald's,397,2,The food was delicious and fresh!,Jogja
1334,User1334,25,Male,19.48,Dessert,Burger King,73,19,"Excellent taste, worth every penny!",Jogja
1335,User1335,31,Male,9.05,Fast Food,McDonald's,287,9,"Amazing flavors, highly recommend!",Malang
1336,User1336,38,Female,61.56,Beverage,Starbucks,432,18,Very tasty and well-prepared.,Malang
1337,User1337,48,Female,77.85,Dessert,Starbucks,419,10,"Terrible experience, food was awful.",Jakarta
1338,User1338,53,Female,39.63,Beverage,JCo,317,9,"Terrible experience, food was awful.",Malang
1339,User1339,28,Female,42.55,Dessert,Burger King,110,9,"Poor quality, not worth the money.",Malang
1340,User1340,53,Female,73.83,Fast Food,JCo,396,7,"Amazing flavors, highly recommend!",Jakarta
1341,User1341,23,Female,65.28,Beverage,Mi Gacoan,97,0,The food was delicious and fresh!,Malang
1342,User1342,55,Male,56.56,Fast Food,Mi Gacoan,321,4,"Unimpressed with the taste, won't return.",Jakarta
1343,User1343,40,Male,95.18,Healthy,JCo,94,1,"Amazing flavors, highly recommend!",Jakarta
1344,User1344,51,Male,49.58,Beverage,Mi Gacoan,180,16,The food was delicious and fresh!,Surabaya
1345,User1345,36,Male,8.4,Beverage,KFC,485,7,The food was bland and tasteless.,Jogja
1346,User1346,18,Male,59.88,Beverage,McDonald's,384,16,The food was delicious and fresh!,Bandung
1347,User1347,49,Female,65.93,Healthy,KFC,20,16,Very tasty and well-prepared.,Surabaya
1348,User1348,62,Female,5.07,Healthy,Burger King,471,19,"Poor quality, not worth the money.",Jogja
1349,User1349,48,Male,67.47,Healthy,Burger King,336,19,"Poor quality, not worth the money.",Surabaya
1350,User1350,63,Male,94.89,Beverage,Burger King,115,9,"Poor quality, not worth the money.",Jakarta
1351,User1351,20,Female,27.84,Beverage,Starbucks,341,1,"Great food, definitely coming back.",Bandung
1352,User1352,39,Male,17.14,Dessert,McDonald's,257,18,"Amazing flavors, highly recommend!",Jogja
1353,User1353,36,Female,26.53,Healthy,JCo,224,6,"Unimpressed with the taste, won't return.",Malang
1354,User1354,34,Female,98.44,Dessert,Starbucks,385,12,"Terrible experience, food was awful.",Bandung
1355,User1355,53,Female,11.58,Beverage,JCo,374,5,"Not worth the price, very disappointing.",Jakarta
1356,User1356,30,Female,13.52,Beverage,KFC,340,17,The food was bland and tasteless.,Bandung
1357,User1357,26,Male,63.44,Healthy,JCo,319,6,Very tasty and well-prepared.,Surabaya
1358,User1358,44,Male,82.2,Dessert,KFC,29,12,"Unimpressed with the taste, won't return.",Jogja
1359,User1359,53,Female,97.1,Healthy,JCo,275,17,"Terrible experience, food was awful.",Jogja
1360,User1360,27,Male,87.98,Healthy,Burger King,171,12,The food was delicious and fresh!,Malang
1361,User1361,49,Male,20.15,Fast Food,JCo,403,18,"Unimpressed with the taste, won't return.",Bandung
1362,User1362,62,Male,58.39,Beverage,Burger King,196,9,"Great food, definitely coming back.",Jakarta
1363,User1363,67,Female,62.05,Beverage,McDonald's,182,18,The food was bland and tasteless.,Jakarta
1364,User1364,61,Female,15.77,Dessert,KFC,173,19,"Not worth the price, very disappointing.",Surabaya
1365,User1365,65,Female,57.95,Fast Food,Mi Gacoan,220,6,"Poor quality, not worth the money.",Jakarta
1366,User1366,18,Male,56.61,Healthy,McDonald's,164,5,"Poor quality, not worth the money.",Surabaya
1367,User1367,63,Female,63.56,Fast Food,Mi Gacoan,201,15,"Excellent taste, worth every penny!",Malang
1368,User1368,38,Female,76.62,Dessert,JCo,1,19,The food was bland and tasteless.,Malang
1369,User1369,46,Female,95.45,Dessert,Burger King,246,3,"Unimpressed with the taste, won't return.",Bandung
1370,User1370,56,Female,93.12,Dessert,McDonald's,192,2,The food was delicious and fresh!,Bandung
1371,User1371,54,Female,15.0,Beverage,Mi Gacoan,233,18,"Unimpressed with the taste, won't return.",Surabaya
1372,User1372,48,Female,84.4,Dessert,Starbucks,442,8,"Excellent taste, worth every penny!",Jakarta
1373,User1373,51,Female,9.9,Healthy,Burger King,368,9,"Unimpressed with the taste, won't return.",Bandung
1374,User1374,53,Male,27.8,Dessert,McDonald's,428,8,"Terrible experience, food was awful.",Jogja
1375,User1375,59,Male,60.37,Healthy,Mi Gacoan,77,1,"Poor quality, not worth the money.",Malang
1376,User1376,44,Female,87.21,Healthy,Starbucks,307,12,"Poor quality, not worth the money.",Surabaya
1377,User1377,64,Male,93.68,Beverage,McDonald's,281,10,"Excellent taste, worth every penny!",Bandung
1378,User1378,36,Male,43.42,Dessert,KFC,173,4,"Not worth the price, very disappointing.",Jakarta
1379,User1379,42,Female,47.71,Healthy,Starbucks,376,11,"Excellent taste, worth every penny!",Jakarta
1380,User1380,42,Female,76.48,Fast Food,Burger King,151,5,"Amazing flavors, highly recommend!",Bandung
1381,User1381,32,Female,87.64,Healthy,KFC,246,13,"Poor quality, not worth the money.",Surabaya
1382,User1382,46,Male,53.01,Dessert,Mi Gacoan,25,0,Very tasty and well-prepared.,Jakarta
1383,User1383,68,Female,91.08,Fast Food,JCo,493,2,"Not worth the price, very disappointing.",Surabaya
1384,User1384,59,Male,57.03,Dessert,Starbucks,216,11,The food was delicious and fresh!,Bandung
1385,User1385,37,Female,71.36,Dessert,KFC,355,13,Very tasty and well-prepared.,Malang
1386,User1386,20,Female,49.47,Healthy,JCo,445,4,"Terrible experience, food was awful.",Jogja
1387,User1387,60,Male,44.94,Healthy,Mi Gacoan,308,10,"Not worth the price, very disappointing.",Surabaya
1388,User1388,67,Male,33.32,Beverage,KFC,477,0,"Poor quality, not worth the money.",Bandung
1389,User1389,47,Female,45.21,Healthy,Mi Gacoan,96,10,The food was bland and tasteless.,Jogja
1390,User1390,19,Female,92.96,Healthy,JCo,156,15,"Poor quality, not worth the money.",Bandung
1391,User1391,39,Female,59.97,Dessert,JCo,350,3,"Excellent taste, worth every penny!",Surabaya
1392,User1392,35,Male,60.24,Dessert,KFC,223,13,"Not worth the price, very disappointing.",Malang
1393,User1393,43,Female,67.59,Beverage,KFC,156,4,"Amazing flavors, highly recommend!",Jakarta
1394,User1394,32,Female,25.14,Dessert,Burger King,203,18,"Great food, definitely coming back.",Surabaya
1395,User1395,40,Female,59.94,Fast Food,Burger King,460,11,"Great food, definitely coming back.",Jakarta
1396,User1396,33,Female,45.6,Fast Food,Starbucks,408,14,"Unimpressed with the taste, won't return.",Surabaya
1397,User1397,68,Female,90.79,Beverage,KFC,290,12,"Amazing flavors, highly recommend!",Bandung
1398,User1398,36,Male,55.12,Healthy,Starbucks,473,5,"Amazing flavors, highly recommend!",Malang
1399,User1399,29,Female,69.14,Beverage,Burger King,225,8,"Poor quality, not worth the money.",Jogja
1400,User1400,42,Male,41.59,Dessert,McDonald's,469,14,"Great food, definitely coming back.",Surabaya
1401,User1401,23,Male,22.61,Beverage,Burger King,321,17,"Terrible experience, food was awful.",Bandung
1402,User1402,61,Male,54.34,Beverage,Mi Gacoan,161,18,"Excellent taste, worth every penny!",Surabaya
1403,User1403,24,Female,42.86,Beverage,Burger King,18,8,"Terrible experience, food was awful.",Surabaya
1404,User1404,59,Male,83.69,Fast Food,Starbucks,73,11,"Amazing flavors, highly recommend!",Bandung
1405,User1405,61,Female,87.59,Beverage,Starbucks,236,1,Very tasty and well-prepared.,Bandung
1406,User1406,65,Female,63.6,Fast Food,JCo,433,1,The food was bland and tasteless.,Bandung
1407,User1407,30,Female,96.36,Healthy,Burger King,248,16,"Terrible experience, food was awful.",Surabaya
1408,User1408,30,Male,50.53,Beverage,Starbucks,93,10,"Great food, definitely coming back.",Malang
1409,User1409,63,Female,94.34,Fast Food,Mi Gacoan,409,0,"Amazing flavors, highly recommend!",Bandung
1410,User1410,55,Female,98.72,Dessert,Burger King,289,19,"Unimpressed with the taste, won't return.",Surabaya
1411,User1411,36,Female,9.2,Dessert,JCo,19,0,"Amazing flavors, highly recommend!",Bandung
1412,User1412,27,Female,43.81,Dessert,Mi Gacoan,410,2,"Terrible experience, food was awful.",Jogja
1413,User1413,26,Male,26.53,Beverage,McDonald's,16,8,The food was delicious and fresh!,Malang
1414,User1414,58,Male,39.94,Dessert,Starbucks,64,1,"Great food, definitely coming back.",Jogja
1415,User1415,26,Female,97.33,Dessert,McDonald's,316,10,"Excellent taste, worth every penny!",Jogja
1416,User1416,18,Female,86.36,Healthy,McDonald's,342,7,"Unimpressed with the taste, won't return.",Surabaya
1417,User1417,50,Male,24.7,Beverage,JCo,327,17,"Not worth the price, very disappointing.",Surabaya
1418,User1418,30,Female,51.1,Fast Food,McDonald's,39,19,The food was delicious and fresh!,Surabaya
1419,User1419,38,Male,77.08,Beverage,Mi Gacoan,178,0,"Great food, definitely coming back.",Jogja
1420,User1420,68,Female,6.93,Healthy,McDonald's,414,19,"Unimpressed with the taste, won't return.",Bandung
1421,User1421,33,Male,89.72,Healthy,Starbucks,424,18,"Terrible experience, food was awful.",Bandung
1422,User1422,41,Male,81.21,Fast Food,McDonald's,233,12,The food was bland and tasteless.,Bandung
1423,User1423,62,Female,37.66,Healthy,McDonald's,56,4,"Great food, definitely coming back.",Jakarta
1424,User1424,35,Female,11.36,Healthy,Burger King,241,17,"Great food, definitely coming back.",Malang
1425,User1425,41,Male,98.86,Fast Food,Starbucks,134,16,"Terrible experience, food was awful.",Bandung
1426,User1426,27,Male,22.12,Dessert,Starbucks,118,17,Very tasty and well-prepared.,Jakarta
1427,User1427,63,Female,66.23,Beverage,KFC,11,11,"Terrible experience, food was awful.",Surabaya
1428,User1428,52,Female,47.01,Beverage,Starbucks,424,10,"Not worth the price, very disappointing.",Surabaya
1429,User1429,50,Female,48.75,Healthy,Burger King,115,2,"Poor quality, not worth the money.",Jogja
1430,User1430,59,Female,43.12,Beverage,Mi Gacoan,367,3,"Amazing flavors, highly recommend!",Bandung
1431,User1431,24,Male,96.1,Dessert,KFC,493,14,"Excellent taste, worth every penny!",Jogja
1432,User1432,45,Female,32.01,Fast Food,McDonald's,29,9,"Poor quality, not worth the money.",Jogja
1433,User1433,53,Female,94.78,Dessert,JCo,339,5,"Great food, definitely coming back.",Bandung
1434,User1434,37,Male,70.97,Beverage,McDonald's,254,17,The food was delicious and fresh!,Bandung
1435,User1435,56,Female,15.27,Beverage,McDonald's,55,14,"Excellent taste, worth every penny!",Surabaya
1436,User1436,19,Female,90.61,Healthy,JCo,22,3,"Great food, definitely coming back.",Jogja
1437,User1437,51,Male,93.45,Healthy,McDonald's,291,19,"Excellent taste, worth every penny!",Malang
1438,User1438,55,Female,52.28,Beverage,JCo,360,13,The food was bland and tasteless.,Jogja
1439,User1439,51,Female,36.05,Beverage,Mi Gacoan,128,1,"Great food, definitely coming back.",Bandung
1440,User1440,51,Female,98.65,Beverage,Burger King,342,17,The food was delicious and fresh!,Malang
1441,User1441,21,Male,12.8,Fast Food,Starbucks,331,16,The food was bland and tasteless.,Jogja
1442,User1442,40,Male,66.11,Dessert,Burger King,44,6,The food was bland and tasteless.,Surabaya
1443,User1443,55,Male,23.68,Healthy,JCo,81,9,"Terrible experience, food was awful.",Jakarta
1444,User1444,68,Female,15.29,Healthy,KFC,397,15,"Poor quality, not worth the money.",Jakarta
1445,User1445,51,Male,23.43,Dessert,Burger King,444,9,"Not worth the price, very disappointing.",Surabaya
1446,User1446,21,Male,57.2,Beverage,KFC,271,15,"Terrible experience, food was awful.",Jakarta
1447,User1447,31,Male,46.72,Beverage,Starbucks,194,9,"Unimpressed with the taste, won't return.",Jogja
1448,User1448,52,Female,62.28,Dessert,KFC,139,19,"Amazing flavors, highly recommend!",Surabaya
1449,User1449,33,Female,47.21,Dessert,McDonald's,492,11,"Excellent taste, worth every penny!",Malang
1450,User1450,61,Male,97.68,Dessert,JCo,376,7,The food was bland and tasteless.,Jakarta
1451,User1451,51,Female,42.43,Healthy,JCo,2,15,The food was delicious and fresh!,Jogja
1452,User1452,48,Female,9.84,Healthy,Starbucks,489,0,The food was bland and tasteless.,Jakarta
1453,User1453,59,Female,34.37,Healthy,Burger King,371,1,"Poor quality, not worth the money.",Jogja
1454,User1454,46,Female,45.76,Fast Food,JCo,475,14,"Terrible experience, food was awful.",Jogja
1455,User1455,27,Male,94.99,Fast Food,Starbucks,432,10,"Great food, definitely coming back.",Malang
1456,User1456,29,Female,58.46,Beverage,JCo,483,1,Very tasty and well-prepared.,Malang
1457,User1457,43,Male,89.12,Fast Food,Mi Gacoan,482,9,"Terrible experience, food was awful.",Bandung
1458,User1458,66,Female,18.03,Healthy,KFC,471,0,"Unimpressed with the taste, won't return.",Jogja
1459,User1459,27,Female,66.22,Dessert,McDonald's,269,5,"Amazing flavors, highly recommend!",Bandung
1460,User1460,50,Male,65.38,Dessert,KFC,124,19,"Excellent taste, worth every penny!",Bandung
1461,User1461,39,Male,30.59,Beverage,Starbucks,383,17,"Excellent taste, worth every penny!",Jakarta
1462,User1462,54,Female,42.57,Healthy,Burger King,35,13,"Not worth the price, very disappointing.",Jakarta
1463,User1463,29,Female,90.01,Healthy,Burger King,176,11,Very tasty and well-prepared.,Jakarta
1464,User1464,53,Female,97.62,Fast Food,McDonald's,88,6,Very tasty and well-prepared.,Jogja
1465,User1465,62,Male,53.37,Fast Food,KFC,38,13,The food was delicious and fresh!,Jakarta
1466,User1466,20,Male,78.97,Beverage,Burger King,363,3,"Great food, definitely coming back.",Jakarta
1467,User1467,50,Female,53.35,Healthy,McDonald's,310,5,"Unimpressed with the taste, won't return.",Surabaya
1468,User1468,46,Female,97.17,Beverage,Burger King,192,7,"Unimpressed with the taste, won't return.",Bandung
1469,User1469,54,Female,90.51,Fast Food,JCo,51,10,"Not worth the price, very disappointing.",Bandung
1470,User1470,28,Male,80.3,Beverage,Mi Gacoan,393,7,"Excellent taste, worth every penny!",Surabaya
1471,User1471,53,Female,86.32,Dessert,KFC,20,1,"Amazing flavors, highly recommend!",Surabaya
1472,User1472,47,Female,12.63,Dessert,JCo,401,6,"Excellent taste, worth every penny!",Malang
1473,User1473,61,Female,36.62,Healthy,JCo,475,18,The food was bland and tasteless.,Malang
1474,User1474,59,Male,89.37,Dessert,Mi Gacoan,465,3,"Great food, definitely coming back.",Bandung
1475,User1475,41,Female,64.25,Beverage,KFC,89,10,Very tasty and well-prepared.,Surabaya
1476,User1476,55,Female,85.81,Healthy,KFC,104,19,"Unimpressed with the taste, won't return.",Surabaya
1477,User1477,47,Male,25.35,Beverage,Starbucks,385,10,"Great food, definitely coming back.",Surabaya
1478,User1478,51,Male,86.76,Healthy,Mi Gacoan,496,3,The food was bland and tasteless.,Bandung
1479,User1479,53,Male,98.38,Beverage,Starbucks,476,6,"Great food, definitely coming back.",Surabaya
1480,User1480,60,Female,96.43,Beverage,Mi Gacoan,15,11,The food was bland and tasteless.,Jakarta
1481,User1481,34,Male,64.71,Beverage,McDonald's,170,13,"Terrible experience, food was awful.",Bandung
1482,User1482,38,Female,30.39,Healthy,McDonald's,211,9,"Terrible experience, food was awful.",Malang
1483,User1483,51,Male,97.13,Healthy,Starbucks,325,4,"Terrible experience, food was awful.",Jakarta
1484,User1484,21,Female,78.15,Dessert,Starbucks,410,8,Very tasty and well-prepared.,Surabaya
1485,User1485,49,Male,95.82,Fast Food,Mi Gacoan,35,18,"Not worth the price, very disappointing.",Bandung
1486,User1486,63,Female,25.37,Beverage,McDonald's,460,9,"Amazing flavors, highly recommend!",Jogja
1487,User1487,54,Female,30.55,Fast Food,Burger King,474,9,"Not worth the price, very disappointing.",Bandung
1488,User1488,26,Male,42.35,Beverage,KFC,297,1,"Unimpressed with the taste, won't return.",Jogja
1489,User1489,42,Female,85.15,Fast Food,KFC,200,11,"Terrible experience, food was awful.",Bandung
1490,User1490,43,Female,97.09,Beverage,McDonald's,484,0,Very tasty and well-prepared.,Jogja
1491,User1491,43,Male,7.48,Beverage,JCo,337,13,"Not worth the price, very disappointing.",Bandung
1492,User1492,55,Female,53.34,Beverage,McDonald's,46,10,"Not worth the price, very disappointing.",Jakarta
1493,User1493,28,Male,25.39,Beverage,KFC,175,5,"Amazing flavors, highly recommend!",Surabaya
1494,User1494,50,Male,44.19,Healthy,JCo,85,0,"Unimpressed with the taste, won't return.",Jogja
1495,User1495,21,Male,82.0,Healthy,Starbucks,484,12,"Not worth the price, very disappointing.",Jogja
1496,User1496,39,Male,93.91,Dessert,Burger King,44,3,"Unimpressed with the taste, won't return.",Malang
1497,User1497,58,Male,27.47,Healthy,McDonald's,336,15,"Amazing flavors, highly recommend!",Bandung
1498,User1498,31,Female,72.81,Beverage,KFC,365,5,"Great food, definitely coming back.",Bandung
1499,User1499,50,Female,43.62,Fast Food,KFC,162,0,"Excellent taste, worth every penny!",Malang
1500,User1500,60,Female,52.54,Beverage,KFC,295,6,"Poor quality, not worth the money.",Surabaya
1501,User1501,23,Male,53.54,Dessert,McDonald's,323,18,The food was delicious and fresh!,Malang
1502,User1502,39,Male,30.7,Beverage,Starbucks,406,10,"Unimpressed with the taste, won't return.",Bandung
1503,User1503,58,Female,14.15,Beverage,Mi Gacoan,21,2,"Unimpressed with the taste, won't return.",Malang
1504,User1504,31,Female,25.1,Fast Food,Starbucks,480,12,"Unimpressed with the taste, won't return.",Jakarta
1505,User1505,45,Male,30.11,Fast Food,KFC,297,7,"Excellent taste, worth every penny!",Jogja
1506,User1506,52,Female,30.26,Beverage,Mi Gacoan,286,10,"Terrible experience, food was awful.",Malang
1507,User1507,18,Female,65.24,Dessert,KFC,87,0,"Great food, definitely coming back.",Bandung
1508,User1508,62,Male,77.51,Dessert,Burger King,430,12,"Unimpressed with the taste, won't return.",Jakarta
1509,User1509,57,Male,89.85,Beverage,KFC,226,4,"Amazing flavors, highly recommend!",Malang
1510,User1510,66,Male,79.37,Dessert,Burger King,310,5,Very tasty and well-prepared.,Surabaya
1511,User1511,65,Male,14.85,Dessert,JCo,27,0,"Unimpressed with the taste, won't return.",Bandung
1512,User1512,69,Male,28.93,Dessert,KFC,467,10,"Amazing flavors, highly recommend!",Malang
1513,User1513,35,Female,30.8,Dessert,KFC,6,10,"Great food, definitely coming back.",Malang
1514,User1514,50,Female,55.69,Healthy,KFC,12,3,"Great food, definitely coming back.",Jakarta
1515,User1515,50,Female,81.5,Fast Food,JCo,303,6,"Terrible experience, food was awful.",Jakarta
1516,User1516,29,Female,86.38,Healthy,KFC,231,3,"Great food, definitely coming back.",Malang
1517,User1517,60,Male,98.95,Healthy,JCo,44,5,Very tasty and well-prepared.,Malang
1518,User1518,24,Female,93.46,Fast Food,Mi Gacoan,221,16,"Amazing flavors, highly recommend!",Bandung
1519,User1519,36,Female,43.67,Dessert,JCo,192,19,"Terrible experience, food was awful.",Jogja
1520,User1520,51,Female,59.8,Beverage,Mi Gacoan,38,3,"Unimpressed with the taste, won't return.",Jogja
1521,User1521,69,Female,15.33,Fast Food,Burger King,317,6,The food was bland and tasteless.,Bandung
1522,User1522,23,Male,14.79,Beverage,KFC,77,13,"Excellent taste, worth every penny!",Bandung
1523,User1523,35,Female,38.7,Beverage,McDonald's,262,3,"Amazing flavors, highly recommend!",Bandung
1524,User1524,28,Female,51.21,Fast Food,JCo,61,17,"Amazing flavors, highly recommend!",Surabaya
1525,User1525,30,Female,34.33,Fast Food,KFC,340,10,"Great food, definitely coming back.",Jakarta
1526,User1526,59,Female,73.08,Beverage,Mi Gacoan,174,19,"Amazing flavors, highly recommend!",Malang
1527,User1527,35,Male,77.18,Healthy,KFC,164,7,"Not worth the price, very disappointing.",Surabaya
1528,User1528,49,Male,96.07,Beverage,Starbucks,443,19,"Terrible experience, food was awful.",Bandung
1529,User1529,21,Male,40.05,Beverage,KFC,430,17,"Great food, definitely coming back.",Jogja
1530,User1530,58,Male,43.82,Beverage,KFC,374,16,"Great food, definitely coming back.",Malang
1531,User1531,52,Male,87.17,Healthy,Mi Gacoan,420,7,The food was delicious and fresh!,Malang
1532,User1532,60,Female,82.08,Healthy,McDonald's,36,12,"Poor quality, not worth the money.",Bandung
1533,User1533,48,Male,96.79,Dessert,KFC,261,19,"Terrible experience, food was awful.",Jogja
1534,User1534,24,Male,30.92,Fast Food,McDonald's,360,10,The food was delicious and fresh!,Surabaya
1535,User1535,18,Male,65.17,Dessert,Starbucks,241,6,The food was bland and tasteless.,Jakarta
1536,User1536,22,Female,52.49,Fast Food,Mi Gacoan,439,6,The food was delicious and fresh!,Jakarta
1537,User1537,22,Female,80.1,Beverage,Mi Gacoan,299,9,"Not worth the price, very disappointing.",Jogja
1538,User1538,62,Male,71.83,Healthy,Starbucks,301,12,"Excellent taste, worth every penny!",Bandung
1539,User1539,18,Male,25.33,Beverage,Burger King,389,1,"Unimpressed with the taste, won't return.",Jakarta
1540,User1540,69,Male,34.41,Fast Food,Burger King,36,16,"Excellent taste, worth every penny!",Jakarta
1541,User1541,53,Female,42.9,Dessert,KFC,420,8,"Not worth the price, very disappointing.",Surabaya
