id,nama,age,gender,location_user,location_pembelian,harga_beli,kind_of_food,restaurant,delivery_time,friends,jumlah_klik_produk_tertentu
1787,User1787,18,Female,Bandung,Bandung,47.81,Healthy,Wendy's,32,458,0
1788,User1788,67,Male,Jakarta,Bandung,68.34,Healthy,Arby's,50,499,8
1789,User1789,69,Female,Bandung,Jakarta,44.91,Fast Food,Taco Bell,32,46,10
1790,User1790,22,Male,Bandung,Bandung,99.47,Beverage,Starbucks,20,55,7
1791,User1791,63,Female,Jakarta,Surabaya,88.81,Beverage,Dunkin' Donuts,42,394,18
1792,User1792,40,Female,Jakarta,Bandung,61.24,Fast Food,Arby's,52,225,5
1793,User1793,48,Male,Bandung,Surabaya,73.29,Healthy,Panera Bread,18,379,2
1794,User1794,50,Female,Bandung,Jakarta,45.89,Fast Food,Popeyes,38,482,3
1795,User1795,49,Female,Surabaya,Jakarta,71.07,Beverage,Starbucks,19,121,10
1796,User1796,63,Male,Surabaya,Surabaya,79.59,Dessert,Burger King,15,284,14
1797,User1797,54,Female,Surabaya,Jakarta,83.37,Healthy,Arby's,38,18,15
1798,User1798,21,Male,Surabaya,Bandung,10.6,Fast Food,Popeyes,56,421,4
1799,User1799,53,Female,Bandung,Jakarta,11.03,Healthy,Subway,16,191,8
1800,User1800,37,Female,Surabaya,Bandung,56.14,Healthy,Jack in the Box,48,168,2
1801,User1801,52,Female,Bandung,Bandung,17.3,Dessert,Dunkin' Donuts,54,395,17
1802,User1802,35,Female,Bandung,Jakarta,33.18,Dessert,Subway,45,409,16
1803,User1803,62,Male,Jakarta,Surabaya,16.77,Healthy,Sonic Drive-In,45,80,2
1804,User1804,21,Female,Surabaya,Jakarta,58.95,Beverage,Burger King,41,248,16
1805,User1805,26,Female,Surabaya,Surabaya,81.93,Fast Food,Chick-fil-A,59,340,4
1806,User1806,19,Male,Jakarta,Jakarta,49.59,Healthy,Panera Bread,46,273,18
1807,User1807,33,Female,Jakarta,Surabaya,8.16,Beverage,Subway,58,339,15
1808,User1808,59,Male,Jakarta,Jakarta,10.16,Healthy,Jack in the Box,16,246,3
1809,User1809,26,Male,Surabaya,Bandung,21.95,Dessert,Pizza Hut,17,148,15
1810,User1810,40,Male,Surabaya,Jakarta,87.14,Dessert,Panda Express,27,420,16
1811,User1811,28,Female,Surabaya,Surabaya,92.11,Fast Food,Jack in the Box,27,92,4
1812,User1812,62,Male,Surabaya,Jakarta,14.9,Beverage,Sonic Drive-In,42,25,8
1813,User1813,30,Female,Bandung,Jakarta,25.29,Healthy,Panera Bread,39,314,15
1814,User1814,21,Male,Jakarta,Bandung,79.91,Fast Food,Taco Bell,39,209,9
1815,User1815,40,Female,Jakarta,Bandung,6.86,Beverage,Wendy's,19,71,10
1816,User1816,30,Male,Jakarta,Bandung,47.77,Beverage,Subway,45,177,2
1817,User1817,43,Male,Jakarta,Bandung,81.71,Fast Food,Domino's Pizza,39,63,3
1818,User1818,44,Female,Surabaya,Jakarta,92.05,Fast Food,Pizza Hut,50,226,12
1819,User1819,58,Male,Bandung,Surabaya,62.76,Beverage,Pizza Hut,26,297,12
1820,User1820,59,Female,Bandung,Surabaya,53.74,Fast Food,Popeyes,22,53,15
1821,User1821,18,Female,Surabaya,Bandung,73.86,Fast Food,Popeyes,58,347,3
1822,User1822,56,Male,Bandung,Surabaya,11.59,Healthy,Arby's,41,47,16
1823,User1823,45,Male,Surabaya,Jakarta,72.92,Dessert,Jack in the Box,45,292,4
1824,User1824,58,Male,Surabaya,Jakarta,42.27,Fast Food,Popeyes,53,355,5
1825,User1825,54,Female,Jakarta,Jakarta,71.67,Healthy,Burger King,52,372,10
1826,User1826,39,Female,Surabaya,Jakarta,43.03,Dessert,McDonald's,27,360,13
1827,User1827,39,Female,Bandung,Jakarta,45.08,Dessert,Chipotle,30,421,6
1828,User1828,24,Female,Bandung,Surabaya,53.03,Fast Food,Dunkin' Donuts,30,263,11
1829,User1829,30,Male,Bandung,Jakarta,26.14,Healthy,Little Caesars,33,139,19
1830,User1830,25,Female,Jakarta,Surabaya,48.84,Dessert,Arby's,55,356,10
1831,User1831,21,Male,Bandung,Bandung,71.95,Fast Food,Popeyes,53,360,14
1832,User1832,28,Male,Surabaya,Surabaya,65.61,Beverage,McDonald's,33,164,3
1833,User1833,45,Male,Bandung,Surabaya,72.34,Healthy,Sonic Drive-In,49,158,4
1834,User1834,67,Female,Jakarta,Jakarta,68.72,Fast Food,McDonald's,57,271,18
1835,User1835,67,Male,Bandung,Jakarta,99.26,Healthy,Arby's,55,253,16
1836,User1836,42,Female,Bandung,Jakarta,49.85,Healthy,Starbucks,18,158,10
1837,User1837,67,Male,Jakarta,Surabaya,72.27,Healthy,Subway,31,42,9
1838,User1838,64,Female,Surabaya,Surabaya,47.41,Fast Food,Little Caesars,31,11,5
1839,User1839,27,Male,Bandung,Jakarta,95.1,Dessert,Subway,41,313,5
1840,User1840,62,Female,Jakarta,Jakarta,58.58,Dessert,Jack in the Box,35,280,3
1841,User1841,62,Female,Jakarta,Surabaya,65.97,Dessert,Domino's Pizza,57,45,12
1842,User1842,54,Female,Jakarta,Bandung,94.12,Fast Food,Arby's,22,15,1
1843,User1843,26,Female,Bandung,Jakarta,25.99,Fast Food,Sonic Drive-In,53,486,5
1844,User1844,27,Male,Surabaya,Surabaya,41.31,Fast Food,Five Guys,36,106,7
1845,User1845,53,Female,Surabaya,Jakarta,26.05,Fast Food,Wendy's,18,474,13
1846,User1846,19,Male,Jakarta,Surabaya,17.01,Beverage,Arby's,46,371,7
1847,User1847,56,Male,Surabaya,Jakarta,20.78,Fast Food,Five Guys,37,203,3
1848,User1848,38,Male,Bandung,Jakarta,32.64,Fast Food,Burger King,17,228,3
1849,User1849,63,Female,Jakarta,Bandung,46.63,Healthy,Pizza Hut,24,43,5
1850,User1850,43,Female,Bandung,Bandung,76.12,Healthy,Arby's,31,416,17
1851,User1851,62,Male,Jakarta,Jakarta,54.5,Beverage,Chick-fil-A,22,97,10
1852,User1852,43,Male,Jakarta,Surabaya,23.73,Healthy,Sonic Drive-In,16,393,4
1853,User1853,23,Male,Surabaya,Bandung,75.95,Dessert,Sonic Drive-In,24,360,8
1854,User1854,18,Male,Bandung,Surabaya,59.31,Dessert,Five Guys,31,176,4
1855,User1855,57,Female,Surabaya,Jakarta,64.62,Healthy,Panera Bread,41,294,4
1856,User1856,24,Female,Bandung,Jakarta,32.34,Dessert,Chipotle,29,275,14
1857,User1857,24,Male,Jakarta,Bandung,7.72,Dessert,Burger King,39,398,4
1858,User1858,57,Female,Surabaya,Jakarta,96.61,Dessert,Five Guys,23,351,11
1859,User1859,68,Female,Jakarta,Jakarta,9.88,Fast Food,Chick-fil-A,51,93,13
1860,User1860,35,Female,Jakarta,Jakarta,11.11,Beverage,Dunkin' Donuts,25,74,6
1861,User1861,29,Male,Jakarta,Bandung,48.23,Dessert,Popeyes,58,218,8
1862,User1862,35,Male,Jakarta,Jakarta,6.27,Healthy,Chick-fil-A,45,38,0
1863,User1863,55,Male,Surabaya,Surabaya,5.09,Healthy,Popeyes,15,421,4
1864,User1864,48,Female,Surabaya,Bandung,97.11,Healthy,Jack in the Box,25,448,16
1865,User1865,68,Female,Jakarta,Jakarta,18.31,Healthy,KFC,42,114,3
1866,User1866,67,Female,Jakarta,Jakarta,12.43,Healthy,Subway,56,362,11
1867,User1867,27,Male,Jakarta,Jakarta,65.56,Beverage,Jack in the Box,20,284,17
1868,User1868,30,Female,Jakarta,Jakarta,43.59,Fast Food,Subway,22,260,17
1869,User1869,35,Female,Surabaya,Bandung,34.26,Healthy,Chipotle,33,359,1
1870,User1870,54,Male,Bandung,Bandung,93.06,Beverage,KFC,23,162,12
1871,User1871,50,Female,Surabaya,Bandung,85.37,Beverage,Chipotle,35,427,13
1872,User1872,21,Male,Jakarta,Jakarta,53.72,Beverage,Sonic Drive-In,19,341,15
1873,User1873,30,Female,Jakarta,Surabaya,49.79,Healthy,Sonic Drive-In,50,339,0
1874,User1874,65,Male,Jakarta,Surabaya,63.16,Healthy,Subway,25,31,13
1875,User1875,55,Female,Surabaya,Jakarta,34.91,Healthy,Little Caesars,26,220,1
1876,User1876,25,Male,Surabaya,Bandung,26.31,Fast Food,Little Caesars,48,322,16
1877,User1877,64,Female,Bandung,Jakarta,44.32,Dessert,Chick-fil-A,23,490,9
1878,User1878,23,Female,Surabaya,Jakarta,28.45,Healthy,KFC,56,60,17
1879,User1879,35,Female,Jakarta,Surabaya,47.85,Fast Food,Chipotle,47,119,19
1880,User1880,36,Female,Jakarta,Bandung,54.8,Healthy,Chick-fil-A,46,187,19
1881,User1881,36,Male,Jakarta,Bandung,68.75,Beverage,Panera Bread,23,200,14
1882,User1882,35,Male,Bandung,Jakarta,84.04,Fast Food,Panda Express,16,213,15
1883,User1883,51,Female,Surabaya,Bandung,5.94,Dessert,Panera Bread,17,473,14
1884,User1884,28,Female,Jakarta,Surabaya,16.29,Dessert,Popeyes,38,143,6
1885,User1885,67,Male,Surabaya,Surabaya,46.7,Healthy,KFC,27,364,18
1886,User1886,27,Female,Jakarta,Bandung,80.84,Dessert,Popeyes,27,225,18
1887,User1887,44,Male,Jakarta,Bandung,38.3,Dessert,Arby's,52,194,17
1888,User1888,22,Male,Jakarta,Bandung,61.72,Dessert,KFC,35,386,1
1889,User1889,58,Female,Bandung,Jakarta,43.12,Healthy,Panera Bread,56,372,2
1890,User1890,43,Male,Jakarta,Surabaya,9.47,Dessert,Panera Bread,31,236,10
1891,User1891,68,Male,Bandung,Jakarta,54.11,Dessert,Popeyes,42,182,2
1892,User1892,55,Male,Surabaya,Bandung,8.91,Fast Food,Sonic Drive-In,28,39,0
1893,User1893,25,Male,Surabaya,Jakarta,71.01,Beverage,Arby's,29,282,15
1894,User1894,51,Male,Bandung,Jakarta,85.88,Fast Food,Starbucks,45,114,0
1895,User1895,35,Female,Surabaya,Bandung,31.54,Beverage,Pizza Hut,38,303,0
1896,User1896,65,Female,Surabaya,Surabaya,40.66,Dessert,Popeyes,48,84,11
1897,User1897,57,Female,Jakarta,Surabaya,56.54,Beverage,Dunkin' Donuts,16,445,7
1898,User1898,66,Female,Jakarta,Surabaya,56.71,Dessert,Little Caesars,42,332,2
1899,User1899,35,Male,Surabaya,Bandung,56.22,Fast Food,Domino's Pizza,21,193,2
1900,User1900,56,Male,Bandung,Bandung,5.34,Beverage,Starbucks,27,259,4
1901,User1901,26,Male,Bandung,Bandung,33.96,Fast Food,Arby's,49,221,5
1902,User1902,56,Female,Surabaya,Bandung,58.27,Beverage,Starbucks,19,493,8
1903,User1903,41,Female,Jakarta,Surabaya,37.43,Beverage,McDonald's,42,175,10
1904,User1904,52,Male,Surabaya,Bandung,62.77,Dessert,Panera Bread,37,75,19
1905,User1905,55,Female,Surabaya,Jakarta,61.12,Beverage,Chick-fil-A,38,456,18
1906,User1906,45,Female,Surabaya,Jakarta,51.52,Healthy,KFC,52,85,3
1907,User1907,22,Female,Surabaya,Jakarta,11.87,Beverage,Arby's,37,216,0
1908,User1908,20,Female,Surabaya,Jakarta,73.51,Dessert,McDonald's,18,444,14
1909,User1909,63,Male,Bandung,Jakarta,23.48,Dessert,Sonic Drive-In,23,266,8
1910,User1910,67,Female,Jakarta,Bandung,92.58,Healthy,KFC,33,62,11
1911,User1911,43,Female,Bandung,Surabaya,88.37,Beverage,Taco Bell,38,259,8
1912,User1912,24,Female,Surabaya,Surabaya,42.13,Fast Food,Pizza Hut,47,374,2
1913,User1913,28,Male,Jakarta,Bandung,30.12,Fast Food,Little Caesars,31,320,1
1914,User1914,37,Female,Bandung,Jakarta,28.13,Healthy,Wendy's,29,447,18
1915,User1915,63,Female,Surabaya,Jakarta,63.2,Fast Food,Jack in the Box,19,42,10
1916,User1916,33,Female,Surabaya,Bandung,18.39,Dessert,Popeyes,34,474,5
1917,User1917,38,Female,Surabaya,Jakarta,21.23,Healthy,Dunkin' Donuts,43,193,15
1918,User1918,33,Female,Bandung,Surabaya,75.95,Dessert,Taco Bell,55,23,12
1919,User1919,53,Female,Surabaya,Bandung,31.17,Beverage,KFC,50,268,19
1920,User1920,65,Male,Surabaya,Bandung,5.8,Dessert,Sonic Drive-In,53,403,16
1921,User1921,25,Male,Bandung,Surabaya,24.07,Fast Food,KFC,27,221,10
1922,User1922,58,Female,Jakarta,Surabaya,34.68,Fast Food,Burger King,27,461,10
1923,User1923,54,Male,Bandung,Surabaya,39.29,Beverage,Starbucks,53,289,6
1924,User1924,67,Male,Bandung,Bandung,96.14,Healthy,Wendy's,50,415,2
1925,User1925,46,Male,Jakarta,Surabaya,8.09,Beverage,McDonald's,54,487,12
1926,User1926,62,Female,Jakarta,Jakarta,93.35,Dessert,KFC,16,181,8
1927,User1927,64,Male,Surabaya,Surabaya,63.07,Beverage,Starbucks,36,316,17
1928,User1928,27,Female,Surabaya,Jakarta,53.57,Dessert,Subway,24,447,6
1929,User1929,54,Male,Surabaya,Bandung,40.48,Dessert,McDonald's,28,159,12
1930,User1930,41,Male,Surabaya,Surabaya,57.76,Fast Food,Popeyes,19,20,6
1931,User1931,53,Female,Surabaya,Jakarta,33.95,Healthy,KFC,30,82,9
1932,User1932,46,Female,Surabaya,Bandung,74.88,Healthy,Popeyes,58,286,17
1933,User1933,36,Female,Surabaya,Jakarta,15.52,Fast Food,Starbucks,18,482,19
1934,User1934,32,Male,Surabaya,Jakarta,28.89,Beverage,Burger King,32,82,16
1935,User1935,57,Female,Jakarta,Surabaya,20.13,Beverage,Popeyes,36,356,8
1936,User1936,38,Male,Surabaya,Jakarta,75.09,Dessert,KFC,59,78,3
1937,User1937,54,Female,Surabaya,Surabaya,96.97,Beverage,Little Caesars,43,30,3
1938,User1938,26,Male,Bandung,Surabaya,49.32,Fast Food,Jack in the Box,18,4,19
1939,User1939,66,Male,Bandung,Jakarta,91.41,Healthy,Subway,43,447,2
1940,User1940,57,Male,Jakarta,Bandung,8.07,Fast Food,Wendy's,54,315,2
1941,User1941,31,Male,Surabaya,Surabaya,66.05,Healthy,Sonic Drive-In,27,233,9
1942,User1942,61,Female,Surabaya,Surabaya,46.03,Dessert,Wendy's,59,371,4
1943,User1943,58,Male,Jakarta,Jakarta,77.67,Fast Food,Chipotle,42,133,10
1944,User1944,39,Female,Bandung,Bandung,80,Fast Food,Sonic Drive-In,35,436,4
1945,User1945,65,Male,Bandung,Surabaya,52.57,Dessert,Little Caesars,57,118,5
1946,User1946,50,Female,Bandung,Jakarta,82.15,Dessert,Jack in the Box,15,497,18
1947,User1947,50,Male,Surabaya,Jakarta,75.22,Healthy,Pizza Hut,57,479,17
1948,User1948,48,Male,Surabaya,Bandung,65.82,Healthy,Starbucks,39,168,0
1949,User1949,27,Female,Surabaya,Surabaya,54.32,Dessert,Chipotle,42,208,11
1950,User1950,45,Male,Jakarta,Surabaya,71.29,Dessert,Chick-fil-A,46,413,10
1951,User1951,46,Male,Jakarta,Surabaya,52.42,Dessert,KFC,46,405,11
1952,User1952,61,Male,Surabaya,Bandung,50.82,Healthy,Panera Bread,32,347,2
1953,User1953,41,Male,Surabaya,Bandung,97.27,Dessert,Dunkin' Donuts,41,208,12
1954,User1954,46,Male,Jakarta,Bandung,12.85,Beverage,Domino's Pizza,26,488,12
1955,User1955,20,Female,Jakarta,Bandung,38.12,Beverage,Chipotle,28,92,17
1956,User1956,38,Male,Bandung,Surabaya,53.07,Dessert,Taco Bell,41,463,11
1957,User1957,40,Female,Bandung,Jakarta,97.45,Healthy,Domino's Pizza,29,141,13
1958,User1958,50,Male,Bandung,Bandung,45.18,Healthy,Starbucks,40,414,14
1959,User1959,25,Female,Bandung,Surabaya,55.11,Fast Food,Arby's,30,340,3
1960,User1960,39,Male,Jakarta,Surabaya,96.12,Healthy,Arby's,32,229,1
1961,User1961,38,Female,Surabaya,Jakarta,12.38,Fast Food,Domino's Pizza,32,8,10
1962,User1962,37,Female,Bandung,Jakarta,32.96,Dessert,Starbucks,58,338,5
1963,User1963,43,Male,Surabaya,Jakarta,35.62,Healthy,Subway,59,295,5
1964,User1964,65,Male,Bandung,Bandung,43.22,Beverage,Dunkin' Donuts,15,22,5
1965,User1965,55,Male,Surabaya,Bandung,97.46,Dessert,Five Guys,51,471,17
1966,User1966,42,Male,Surabaya,Bandung,9.26,Fast Food,Burger King,25,487,11
1967,User1967,37,Male,Jakarta,Jakarta,47.38,Fast Food,Wendy's,57,22,4
1968,User1968,60,Female,Bandung,Bandung,91.38,Dessert,Subway,22,410,13
1969,User1969,31,Female,Bandung,Jakarta,36.71,Healthy,Taco Bell,35,343,17
1970,User1970,62,Female,Surabaya,Bandung,36.48,Fast Food,Popeyes,46,84,4
1971,User1971,45,Female,Bandung,Surabaya,28.72,Healthy,Taco Bell,40,261,9
1972,User1972,40,Female,Jakarta,Jakarta,99.62,Dessert,Starbucks,31,287,14
1973,User1973,45,Male,Bandung,Jakarta,45.92,Healthy,Chick-fil-A,47,85,12
1974,User1974,21,Female,Jakarta,Bandung,54.1,Healthy,Burger King,44,414,14
1975,User1975,51,Female,Jakarta,Surabaya,83.3,Healthy,Taco Bell,40,397,13
1976,User1976,47,Female,Jakarta,Jakarta,97.11,Beverage,McDonald's,37,225,3
1977,User1977,39,Female,Surabaya,Jakarta,99.5,Beverage,McDonald's,42,367,7
1978,User1978,20,Male,Jakarta,Surabaya,49.2,Dessert,Little Caesars,33,349,11
1979,User1979,56,Male,Surabaya,Bandung,66.17,Dessert,Taco Bell,26,332,14
1980,User1980,42,Male,Bandung,Bandung,18.38,Beverage,Little Caesars,30,37,17
1981,User1981,35,Female,Jakarta,Surabaya,25.61,Healthy,Popeyes,23,341,9
1982,User1982,31,Female,Bandung,Jakarta,49.34,Healthy,Arby's,47,239,10
1983,User1983,27,Male,Surabaya,Bandung,21.76,Fast Food,KFC,41,268,18
1984,User1984,59,Female,Surabaya,Jakarta,67.22,Beverage,Chick-fil-A,29,353,4
1985,User1985,43,Female,Jakarta,Surabaya,46.96,Dessert,Sonic Drive-In,57,324,5
1986,User1986,55,Male,Surabaya,Surabaya,57.57,Beverage,Taco Bell,56,434,6
1987,User1987,32,Male,Bandung,Bandung,26.32,Fast Food,Five Guys,57,304,17
1988,User1988,47,Female,Jakarta,Jakarta,51.07,Dessert,Little Caesars,51,347,10
1989,User1989,65,Female,Bandung,Surabaya,9.3,Dessert,Chipotle,53,208,18
1990,User1990,25,Male,Bandung,Bandung,32.1,Dessert,Little Caesars,37,86,4
1991,User1991,45,Male,Bandung,Jakarta,18.24,Beverage,McDonald's,17,353,17
1992,User1992,46,Male,Bandung,Bandung,57.45,Beverage,Taco Bell,33,108,16
1993,User1993,40,Male,Jakarta,Bandung,49.4,Fast Food,Wendy's,41,357,6
1994,User1994,22,Female,Surabaya,Bandung,70.79,Dessert,Burger King,32,89,0
1995,User1995,21,Male,Bandung,Jakarta,95.63,Fast Food,Chick-fil-A,15,378,2
1996,User1996,42,Female,Jakarta,Bandung,76.4,Dessert,Burger King,37,425,14
1997,User1997,57,Male,Bandung,Bandung,98.5,Healthy,Chipotle,27,147,19
1998,User1998,44,Female,Surabaya,Surabaya,79.46,Fast Food,Five Guys,51,161,16
1999,User1999,27,Male,Bandung,Surabaya,46.95,Dessert,Burger King,57,72,15
2000,User2000,59,Male,Surabaya,Jakarta,28.96,Dessert,Popeyes,24,293,14
2001,User2001,25,Male,Jakarta,Surabaya,12.91,Beverage,Five Guys,24,353,5
2002,User2002,38,Male,Surabaya,Jakarta,89.53,Beverage,Popeyes,15,318,7
2003,User2003,29,Female,Surabaya,Jakarta,57.52,Fast Food,Starbucks,25,56,18
2004,User2004,24,Female,Bandung,Jakarta,79.18,Dessert,Pizza Hut,29,205,17
2005,User2005,46,Female,Surabaya,Jakarta,52.72,Fast Food,Taco Bell,21,15,11
2006,User2006,63,Female,Surabaya,Surabaya,14.84,Beverage,Jack in the Box,38,372,6
2007,User2007,20,Male,Surabaya,Surabaya,39.97,Beverage,Chick-fil-A,57,112,19
2008,User2008,57,Female,Jakarta,Surabaya,7.94,Healthy,Five Guys,40,369,2
2009,User2009,45,Male,Surabaya,Surabaya,83.57,Healthy,Sonic Drive-In,42,489,0
2010,User2010,49,Male,Surabaya,Surabaya,74.19,Fast Food,Panera Bread,25,169,19
2011,User2011,53,Female,Surabaya,Bandung,98.84,Fast Food,Sonic Drive-In,22,307,18
2012,User2012,30,Male,Jakarta,Surabaya,8.83,Dessert,Starbucks,43,498,8
2013,User2013,18,Female,Jakarta,Bandung,79.91,Healthy,Chipotle,41,339,19
2014,User2014,41,Female,Surabaya,Bandung,62.34,Healthy,Taco Bell,45,224,16
2015,User2015,23,Male,Bandung,Surabaya,33.55,Beverage,Popeyes,30,105,0
2016,User2016,18,Male,Bandung,Surabaya,25.28,Fast Food,Pizza Hut,26,170,19
2017,User2017,53,Male,Jakarta,Surabaya,37.6,Healthy,Five Guys,47,243,12
2018,User2018,28,Female,Surabaya,Bandung,81.45,Dessert,Panera Bread,45,144,16
2019,User2019,47,Male,Bandung,Surabaya,92.74,Beverage,Pizza Hut,22,253,6
2020,User2020,35,Male,Jakarta,Jakarta,41.06,Fast Food,Taco Bell,51,422,10
2021,User2021,66,Male,Surabaya,Surabaya,58.28,Beverage,McDonald's,53,363,17
2022,User2022,58,Male,Surabaya,Bandung,79.06,Healthy,Starbucks,20,448,17
2023,User2023,36,Male,Surabaya,Surabaya,61.43,Dessert,Wendy's,56,438,8
2024,User2024,65,Female,Bandung,Jakarta,77.98,Beverage,Domino's Pizza,23,325,13
2025,User2025,28,Male,Surabaya,Surabaya,73.78,Fast Food,Chipotle,52,170,15
2026,User2026,37,Female,Jakarta,Surabaya,29.59,Beverage,Starbucks,33,253,17
2027,User2027,55,Female,Bandung,Jakarta,27.37,Healthy,Dunkin' Donuts,38,20,3
2028,User2028,31,Male,Jakarta,Surabaya,20.91,Beverage,McDonald's,44,69,8
2029,User2029,21,Male,Surabaya,Jakarta,56.25,Dessert,Panera Bread,24,362,11
2030,User2030,54,Male,Bandung,Bandung,38.7,Beverage,Little Caesars,24,421,5
2031,User2031,21,Male,Jakarta,Bandung,50.12,Beverage,Starbucks,25,33,10
2032,User2032,53,Male,Surabaya,Bandung,99.77,Healthy,McDonald's,27,149,6
2033,User2033,25,Female,Bandung,Surabaya,88.89,Dessert,Sonic Drive-In,54,397,2
2034,User2034,28,Male,Bandung,Bandung,16.92,Dessert,Arby's,34,77,18
2035,User2035,38,Male,Bandung,Surabaya,50.25,Beverage,Chick-fil-A,38,307,16
2036,User2036,46,Female,Surabaya,Bandung,47.43,Beverage,Little Caesars,43,416,13
2037,User2037,26,Female,Bandung,Surabaya,56.43,Dessert,Five Guys,45,408,11
2038,User2038,26,Male,Bandung,Bandung,51.16,Dessert,Five Guys,24,288,16
2039,User2039,35,Female,Bandung,Surabaya,57.88,Beverage,Chick-fil-A,15,490,14
2040,User2040,35,Male,Bandung,Surabaya,19.56,Beverage,Chick-fil-A,53,476,6
2041,User2041,23,Female,Bandung,Jakarta,65.65,Healthy,Five Guys,27,443,6
2042,User2042,49,Male,Jakarta,Bandung,58.63,Dessert,Pizza Hut,22,477,15
2043,User2043,47,Male,Bandung,Jakarta,41.48,Dessert,Five Guys,51,342,15
2044,User2044,34,Female,Surabaya,Bandung,50.19,Healthy,Taco Bell,45,463,4
2045,User2045,40,Male,Bandung,Jakarta,29.17,Fast Food,Panda Express,53,456,19
2046,User2046,53,Male,Bandung,Bandung,53.51,Fast Food,KFC,49,315,17
2047,User2047,68,Male,Jakarta,Surabaya,11.11,Fast Food,KFC,20,161,2
2048,User2048,53,Female,Jakarta,Surabaya,32.74,Fast Food,Sonic Drive-In,46,92,8
2049,User2049,34,Female,Surabaya,Jakarta,96.33,Fast Food,Panda Express,21,258,17
2050,User2050,45,Female,Surabaya,Jakarta,26.92,Dessert,Arby's,37,252,13
2051,User2051,50,Female,Surabaya,Surabaya,23.13,Healthy,Pizza Hut,29,193,3
2052,User2052,65,Female,Jakarta,Jakarta,80.25,Healthy,Panda Express,17,103,14
2053,User2053,20,Male,Jakarta,Jakarta,68.69,Healthy,Five Guys,53,489,16
2054,User2054,29,Female,Jakarta,Bandung,45.68,Healthy,Chick-fil-A,44,427,7
2055,User2055,36,Female,Jakarta,Bandung,48.01,Beverage,Burger King,18,77,14
2056,User2056,42,Female,Jakarta,Bandung,86.32,Fast Food,Taco Bell,41,259,18
2057,User2057,42,Female,Jakarta,Bandung,87.45,Healthy,Popeyes,58,370,7
2058,User2058,18,Male,Jakarta,Bandung,74.58,Fast Food,Arby's,49,382,11
2059,User2059,63,Female,Jakarta,Surabaya,95.52,Healthy,Arby's,46,426,4
2060,User2060,26,Female,Surabaya,Jakarta,79.66,Healthy,Burger King,25,135,2
2061,User2061,41,Female,Jakarta,Surabaya,79.21,Dessert,Arby's,28,232,5
2062,User2062,19,Male,Surabaya,Surabaya,32.34,Healthy,Chick-fil-A,35,77,13
2063,User2063,47,Female,Jakarta,Surabaya,97.27,Fast Food,Chick-fil-A,30,98,10
2064,User2064,65,Female,Jakarta,Bandung,94.81,Healthy,Chick-fil-A,17,492,5
2065,User2065,56,Male,Surabaya,Surabaya,78.05,Dessert,Sonic Drive-In,41,109,18
2066,User2066,56,Male,Surabaya,Bandung,59.73,Dessert,Dunkin' Donuts,57,89,6
2067,User2067,62,Male,Surabaya,Bandung,34.37,Dessert,Starbucks,28,82,12
2068,User2068,68,Male,Jakarta,Surabaya,8.99,Dessert,Chick-fil-A,37,422,13
2069,User2069,68,Male,Bandung,Surabaya,64.71,Beverage,Panera Bread,42,339,11
2070,User2070,35,Male,Jakarta,Surabaya,35.16,Fast Food,Sonic Drive-In,55,263,1
2071,User2071,37,Female,Bandung,Bandung,40.71,Healthy,Chick-fil-A,20,433,0
2072,User2072,43,Male,Bandung,Surabaya,82.83,Beverage,Burger King,47,462,17
2073,User2073,23,Male,Jakarta,Bandung,72.94,Healthy,Little Caesars,43,35,3
2074,User2074,64,Male,Jakarta,Surabaya,86.87,Beverage,Chick-fil-A,53,410,13
2075,User2075,39,Female,Surabaya,Bandung,55.65,Beverage,McDonald's,34,192,0
2076,User2076,52,Female,Bandung,Surabaya,79.5,Dessert,Jack in the Box,47,382,13
2077,User2077,51,Female,Jakarta,Bandung,80.14,Beverage,Little Caesars,25,128,1
2078,User2078,56,Male,Jakarta,Surabaya,58.12,Beverage,Wendy's,35,267,19
2079,User2079,68,Male,Bandung,Surabaya,33.5,Fast Food,Dunkin' Donuts,19,414,18
2080,User2080,45,Female,Jakarta,Surabaya,50.23,Fast Food,Chipotle,30,263,12
2081,User2081,59,Male,Bandung,Surabaya,29.08,Fast Food,Sonic Drive-In,34,42,10
2082,User2082,55,Female,Bandung,Bandung,75.7,Healthy,Panda Express,27,139,9
2083,User2083,67,Male,Surabaya,Jakarta,35.53,Healthy,Chick-fil-A,51,355,0
2084,User2084,22,Female,Jakarta,Surabaya,96.09,Healthy,Popeyes,58,447,12
2085,User2085,37,Female,Surabaya,Bandung,41.99,Beverage,Dunkin' Donuts,45,43,11
2086,User2086,69,Male,Surabaya,Surabaya,95.98,Fast Food,Starbucks,36,431,10
2087,User2087,51,Male,Bandung,Bandung,84.6,Beverage,Arby's,48,283,6
2088,User2088,39,Female,Bandung,Surabaya,40.12,Beverage,Dunkin' Donuts,38,233,2
2089,User2089,22,Male,Bandung,Bandung,18.04,Healthy,Chipotle,55,254,17
2090,User2090,69,Female,Surabaya,Jakarta,31.47,Beverage,Five Guys,26,121,6
2091,User2091,43,Male,Surabaya,Bandung,37.36,Fast Food,Pizza Hut,51,20,0
2092,User2092,69,Female,Bandung,Jakarta,7.37,Beverage,Panera Bread,40,384,13
2093,User2093,25,Male,Bandung,Bandung,15.65,Fast Food,Wendy's,59,409,17
